Timer,Size
0.0416369,1024
0.083025,2048
0.124539,3072
0.166122,4096
0.208771,5120
0.250163,6144
0.291739,7168
0.33342,8192
0.374856,9216
0.416717,10240
0.458457,11264
0.500038,12288
0.541541,13312
0.583409,14336
0.62515,15360
0.666779,16384
0.708292,17408
0.749914,18432
0.791844,19456
0.833534,20480
0.87503,21504
0.916963,22528
0.95829,23552
1.00023,24576
1.04204,25600
1.08345,26624
1.12532,27648
1.16723,28672
1.20955,29696
1.25109,30720
1.29253,31744
1.33434,32768
1.37655,33792
1.41815,34816
1.46022,35840
1.50166,36864
1.54376,37888
1.58599,38912
1.62697,39936
1.66886,40960
1.71027,41984
1.75216,43008
1.7939,44032
1.83551,45056
1.8776,46080
1.91994,47104
1.96029,48128
2.00153,49152
2.04425,50176
2.08561,51200
2.12744,52224
2.16938,53248
2.21045,54272
2.40875,55296
2.54906,56320
2.59476,57344
2.64204,58368
2.69362,59392
2.46397,60416
2.50511,61440
2.54689,62464
2.58807,63488
2.63058,64512
2.6712,65536
2.72306,66560
3.05882,67584
3.10427,68608
3.15128,69632
3.19825,70656
3.24421,71680
3.29061,72704
3.33643,73728
3.38256,74752
3.42911,75776
3.47543,76800
3.52167,77824
3.56844,78848
3.61472,79872
3.66142,80896
3.70798,81920
3.75315,82944
3.79987,83968
3.84572,84992
3.89277,86016
3.93877,87040
3.98511,88064
4.03053,89088
4.07568,90112
4.12316,91136
4.16952,92160
4.21552,93184
4.26266,94208
4.30734,95232
4.35396,96256
4.39991,97280
4.44697,98304
4.49442,99328
4.53979,100352
4.58516,101376
4.63202,102400
4.6783,103424
4.72453,104448
4.77034,105472
4.81789,106496
4.8639,107520
4.91014,108544
4.95639,109568
5.00283,110592
5.04936,111616
5.09534,112640
5.14163,113664
5.18795,114688
5.23455,115712
5.28083,116736
5.32667,117760
5.37371,118784
5.4198,119808
5.46558,120832
5.51188,121856
5.55798,122880
5.60449,123904
5.65044,124928
5.69708,125952
5.74358,126976
5.78888,128000
5.8359,129024
5.88361,130048
5.92934,131072
5.97525,132096
6.02128,133120
6.0676,134144
6.11319,135168
6.16023,136192
6.20692,137216
6.25244,138240
6.30013,139264
6.3467,140288
6.3924,141312
6.43974,142336
6.48637,143360
6.53295,144384
6.57792,145408
6.62425,146432
6.67053,147456
6.71662,148480
6.76394,149504
6.80938,150528
6.85574,151552
6.90233,152576
6.9476,153600
6.99434,154624
7.04085,155648
7.0867,156672
7.13383,157696
7.17941,158720
7.2261,159744
7.27157,160768
7.31822,161792
7.36321,162816
7.41097,163840
7.45659,164864
7.50338,165888
7.54916,166912
7.59528,167936
7.64178,168960
7.68815,169984
7.73382,171008
7.78065,172032
7.82696,173056
7.87324,174080
7.92623,175104
7.17781,176128
7.21793,177152
7.26167,178176
7.3035,179200
7.34328,180224
7.38552,181248
7.42685,182272
7.46843,183296
7.51118,184320
7.55189,185344
7.59416,186368
7.63596,187392
7.67556,188416
7.71864,189440
7.76061,190464
7.80053,191488
7.84377,192512
7.88516,193536
7.9268,194560
7.96861,195584
8.00938,196608
8.05196,197632
8.09512,198656
8.13482,199680
8.17687,200704
8.21741,201728
8.26125,202752
8.30191,203776
8.34405,204800
8.38611,205824
8.42682,206848
8.46956,207872
8.51138,208896
8.55348,209920
8.59487,210944
8.63702,211968
8.67777,212992
8.71909,214016
8.7616,215040
8.80342,216064
8.84497,217088
8.8862,218112
8.92938,219136
8.96966,220160
9.01168,221184
9.05232,222208
9.09546,223232
9.13756,224256
9.17721,225280
9.22048,226304
9.26255,227328
9.30467,228352
9.34435,229376
9.38867,230400
9.42829,231424
9.46986,232448
9.5132,233472
9.55217,234496
9.59703,235520
9.63738,236544
9.67988,237568
9.71959,238592
9.76383,239616
9.80431,240640
9.8464,241664
9.88792,242688
9.92949,243712
9.97162,244736
10.0134,245760
10.0525,246784
10.0971,247808
10.1388,248832
10.1794,249856
10.221,250880
10.2631,251904
10.3047,252928
10.2872,253952
10.1975,254976
10.2349,256000
10.2757,257024
10.3166,258048
10.3574,259072
10.3983,260096
10.4392,261120
10.4813,262144
10.5233,263168
14.6427,365568
18.7433,467968
22.9037,570368
27.0989,672768
31.3958,775168
35.8084,877568
40.1795,979968
44.5501,1082368
48.8886,1184768
53.2141,1287168
57.4975,1389568
61.7907,1491968
66.0897,1594368
70.3854,1696768
74.6452,1799168
78.9037,1901568
83.1657,2003968
87.4399,2106368
91.6938,2208768
95.951,2311168
100.207,2413568
104.457,2515968
108.711,2618368
112.963,2720768
117.209,2823168
121.454,2925568
125.706,3027968
129.963,3130368
134.207,3232768
138.464,3335168
142.713,3437568
146.96,3539968
151.21,3642368
155.466,3744768
159.72,3847168
163.973,3949568
168.222,4051968
172.47,4154368
176.722,4256768
180.978,4359168
185.226,4461568
189.472,4563968
193.724,4666368
197.977,4768768
202.226,4871168
206.475,4973568
