Timer,Size
0.040647,1024
0.081213,2048
0.121798,3072
0.162552,4096
0.204011,5120
0.244837,6144
0.285587,7168
0.326357,8192
0.367134,9216
0.40795,10240
0.448739,11264
0.489418,12288
0.53018,13312
0.570955,14336
0.611754,15360
0.652512,16384
0.693303,17408
0.7342,18432
0.775228,19456
0.815901,20480
0.856755,21504
0.897513,22528
0.938433,23552
0.979204,24576
1.01998,25600
1.06078,26624
1.10156,27648
1.14245,28672
1.18322,29696
1.22406,30720
1.26527,31744
1.30617,32768
1.34705,33792
1.38814,34816
1.42888,35840
1.46976,36864
1.51071,37888
1.55147,38912
1.59236,39936
1.63321,40960
1.67402,41984
1.71495,43008
1.75569,44032
1.79651,45056
1.83732,46080
1.87813,47104
1.91936,48128
1.96018,49152
2.00101,50176
2.04186,51200
2.08267,52224
2.1235,53248
2.16432,54272
2.20507,55296
2.24616,56320
2.28681,57344
2.32769,58368
2.36841,59392
2.40959,60416
2.45003,61440
2.4909,62464
2.5317,63488
2.57255,64512
2.61377,65536
2.6545,66560
2.69544,67584
2.73638,68608
2.77718,69632
2.81797,70656
2.85877,71680
2.89962,72704
2.94041,73728
2.98115,74752
3.02203,75776
3.06283,76800
3.10405,77824
3.14499,78848
3.18576,79872
3.22665,80896
3.2674,81920
3.3082,82944
3.34901,83968
3.38977,84992
3.43062,86016
3.47147,87040
3.51234,88064
3.55313,89088
3.59394,90112
3.63514,91136
3.67594,92160
3.7167,93184
3.7576,94208
3.79839,95232
3.83956,96256
3.88061,97280
3.92168,98304
3.96252,99328
4.00326,100352
4.04407,101376
4.08532,102400
4.12617,103424
4.16767,104448
4.20858,105472
4.24945,106496
4.29034,107520
4.33154,108544
4.37231,109568
4.4132,110592
4.45405,111616
4.49499,112640
4.53599,113664
4.57683,114688
4.61764,115712
4.65866,116736
4.69964,117760
4.74079,118784
4.78177,119808
4.82244,120832
4.86317,121856
4.90376,122880
4.94459,123904
4.98525,124928
5.02624,125952
5.06683,126976
5.10769,128000
5.14863,129024
5.18972,130048
5.23045,131072
5.27145,132096
5.31222,133120
5.35313,134144
5.39376,135168
5.43464,136192
5.47561,137216
5.51659,138240
5.55731,139264
5.5982,140288
5.63896,141312
5.68012,142336
5.72085,143360
5.76186,144384
5.80232,145408
5.84311,146432
5.88389,147456
5.92443,148480
5.96541,149504
6.00654,150528
6.04691,151552
6.08766,152576
6.12854,153600
6.16913,154624
6.21014,155648
6.25095,156672
6.2917,157696
6.33316,158720
6.37408,159744
6.41485,160768
6.45597,161792
6.49665,162816
6.53758,163840
6.57818,164864
6.61927,165888
6.66001,166912
6.70065,167936
6.74174,168960
6.78313,169984
6.82422,171008
6.86504,172032
6.9057,173056
6.94674,174080
6.98741,175104
7.02831,176128
7.06896,177152
7.10983,178176
7.15073,179200
7.19176,180224
7.2326,181248
7.27397,182272
7.31483,183296
7.35553,184320
7.39648,185344
7.43758,186368
7.47815,187392
7.51878,188416
7.55963,189440
7.60053,190464
7.64142,191488
7.68233,192512
7.72315,193536
7.76366,194560
7.8047,195584
7.84536,196608
7.88639,197632
7.92688,198656
7.968,199680
8.00904,200704
8.04976,201728
8.09064,202752
8.13174,203776
8.17299,204800
8.21382,205824
8.25493,206848
8.29645,207872
8.33735,208896
8.37768,209920
8.41876,210944
8.45982,211968
8.50014,212992
8.54118,214016
8.58199,215040
8.62295,216064
8.66386,217088
8.70474,218112
8.74567,219136
8.78657,220160
8.82685,221184
8.86822,222208
8.9089,223232
8.94959,224256
8.99078,225280
9.03225,226304
9.0729,227328
9.114,228352
9.15508,229376
9.19586,230400
9.23673,231424
9.27784,232448
9.31908,233472
9.35964,234496
9.40034,235520
9.44127,236544
9.4821,237568
9.52287,238592
9.56406,239616
9.60487,240640
9.6453,241664
9.68593,242688
9.72757,243712
9.7692,244736
9.80941,245760
9.85053,246784
9.89192,247808
9.93227,248832
9.97328,249856
10.0143,250880
10.0551,251904
10.0959,252928
10.1369,253952
10.1771,254976
10.2186,256000
10.2596,257024
10.3002,258048
10.3411,259072
10.3822,260096
10.4229,261120
10.4645,262144
10.5055,263168
14.6207,365568
18.7191,467968
22.8305,570368
26.9464,672768
31.1133,775168
35.3282,877568
39.5882,979968
43.8275,1082368
48.0516,1184768
52.2793,1287168
56.4833,1389568
60.6755,1491968
64.8655,1594368
69.0671,1696768
73.2504,1799168
77.4269,1901568
81.6003,2003968
85.7822,2106368
89.9601,2208768
94.1375,2311168
98.3145,2413568
102.486,2515968
106.704,2618368
110.821,2720768
114.992,2823168
119.162,2925568
123.33,3027968
127.503,3130368
131.675,3232768
135.846,3335168
140.01,3437568
144.185,3539968
148.352,3642368
152.522,3744768
156.696,3847168
160.864,3949568
165.04,4051968
169.211,4154368
173.38,4256768
177.556,4359168
181.72,4461568
185.894,4563968
190.056,4666368
194.232,4768768
198.4,4871168
202.581,4973568
