Timer,Adjusted,Size
0,0.0203838,5000000
0.174916,0.154532,5000000
0.174901,0.154517,5000000
0.174979,0.154595,5000000
0.174993,0.154609,5000000
0.175026,0.154642,5000000
0.17498,0.154596,5000000
0.175033,0.154649,5000000
0.17485,0.154466,5000000
0.174985,0.154601,5000000
0.174942,0.154558,5000000
0.174941,0.154557,5000000
0.174951,0.154567,5000000
0.174874,0.15449,5000000
0.175032,0.154648,5000000
0.17498,0.154596,5000000
0.174939,0.154555,5000000
0.174862,0.154478,5000000
0.174891,0.154507,5000000
0.174874,0.15449,5000000
0.174982,0.154598,5000000
0.174991,0.154607,5000000
0.17486,0.154476,5000000
0.174906,0.154522,5000000
0.177985,0.157601,5000000
0.174993,0.154609,5000000
0.174892,0.154508,5000000
0.174856,0.154472,5000000
0.174921,0.154537,5000000
0.174972,0.154588,5000000
0.17487,0.154486,5000000
0.174961,0.154577,5000000
0.174963,0.154579,5000000
0.174934,0.15455,5000000
0.174909,0.154525,5000000
0.174867,0.154483,5000000
0.17494,0.154556,5000000
0.174903,0.154519,5000000
0.174954,0.15457,5000000
0.174954,0.15457,5000000
0.174957,0.154573,5000000
0.174864,0.15448,5000000
0.174896,0.154512,5000000
0.17485,0.154466,5000000
0.175032,0.154648,5000000
0.174902,0.154518,5000000
0.174893,0.154509,5000000
0.174884,0.1545,5000000
0.174941,0.154557,5000000
0.174909,0.154525,5000000
0.174962,0.154578,5000000
0.175021,0.154637,5000000
0.174948,0.154564,5000000
0.175036,0.154652,5000000
0.175163,0.154779,5000000
0.174945,0.154561,5000000
0.174893,0.154509,5000000
0.174938,0.154554,5000000
0.174947,0.154563,5000000
0.1749,0.154516,5000000
0.174977,0.154593,5000000
0.174888,0.154504,5000000
0.175017,0.154633,5000000
0.174907,0.154523,5000000
0.17489,0.154506,5000000
0.174912,0.154528,5000000
0.174937,0.154553,5000000
0.174958,0.154574,5000000
0.174902,0.154518,5000000
0.174916,0.154532,5000000
0.17491,0.154526,5000000
0.175902,0.155518,5000000
0.174829,0.154445,5000000
0.174889,0.154505,5000000
0.174948,0.154564,5000000
0.174852,0.154468,5000000
0.174845,0.154461,5000000
0.174866,0.154482,5000000
0.174954,0.15457,5000000
0.174895,0.154511,5000000
0.174989,0.154605,5000000
0.174907,0.154523,5000000
0.175007,0.154623,5000000
0.174938,0.154554,5000000
0.174948,0.154564,5000000
0.174902,0.154518,5000000
0.174945,0.154561,5000000
0.174963,0.154579,5000000
0.174913,0.154529,5000000
0.174884,0.1545,5000000
0.17501,0.154626,5000000
0.174901,0.154517,5000000
0.175057,0.154673,5000000
0.17494,0.154556,5000000
0.174987,0.154603,5000000
0.174839,0.154455,5000000
0.174854,0.15447,5000000
0.174878,0.154494,5000000
0.175106,0.154722,5000000
0.174911,0.154527,5000000
0.175008,0.154624,5000000
0.175003,0.154619,5000000
0.174927,0.154543,5000000
0.174937,0.154553,5000000
0.174843,0.154459,5000000
0.174975,0.154591,5000000
0.174897,0.154513,5000000
0.175026,0.154642,5000000
0.174815,0.154431,5000000
0.174882,0.154498,5000000
0.17497,0.154586,5000000
0.174847,0.154463,5000000
0.174949,0.154565,5000000
0.174897,0.154513,5000000
0.174826,0.154442,5000000
0.17499,0.154606,5000000
0.174913,0.154529,5000000
0.174904,0.15452,5000000
0.174837,0.154453,5000000
0.174919,0.154535,5000000
0.174873,0.154489,5000000
0.175062,0.154678,5000000
0.174977,0.154593,5000000
0.174891,0.154507,5000000
0.17495,0.154566,5000000
0.174894,0.15451,5000000
0.174908,0.154524,5000000
0.174923,0.154539,5000000
0.174877,0.154493,5000000
0.174915,0.154531,5000000
0.174997,0.154613,5000000
0.174928,0.154544,5000000
0.174914,0.15453,5000000
0.174848,0.154464,5000000
0.174862,0.154478,5000000
0.174841,0.154457,5000000
0.174883,0.154499,5000000
0.174874,0.15449,5000000
0.174907,0.154523,5000000
0.174892,0.154508,5000000
0.174837,0.154453,5000000
0.174908,0.154524,5000000
0.174833,0.154449,5000000
0.17498,0.154596,5000000
0.174961,0.154577,5000000
0.174928,0.154544,5000000
0.174903,0.154519,5000000
0.174998,0.154614,5000000
0.174864,0.15448,5000000
0.174868,0.154484,5000000
0.174905,0.154521,5000000
0.174903,0.154519,5000000
0.174893,0.154509,5000000
0.174906,0.154522,5000000
