Timer,Adjusted,Size
0,0.0204151,5000000
0.175152,0.154737,5000000
0.175182,0.154767,5000000
0.175141,0.154726,5000000
0.175139,0.154724,5000000
0.175147,0.154732,5000000
0.175142,0.154727,5000000
0.175132,0.154717,5000000
0.17513,0.154715,5000000
0.175137,0.154722,5000000
0.175436,0.155021,5000000
0.175134,0.154719,5000000
0.175126,0.154711,5000000
0.175131,0.154716,5000000
0.17518,0.154765,5000000
0.175145,0.15473,5000000
0.175124,0.154709,5000000
0.175129,0.154714,5000000
0.175145,0.15473,5000000
0.175135,0.15472,5000000
0.175126,0.154711,5000000
0.175129,0.154714,5000000
0.175142,0.154727,5000000
0.17513,0.154715,5000000
0.17513,0.154715,5000000
0.175186,0.154771,5000000
0.175127,0.154712,5000000
0.175136,0.154721,5000000
0.175186,0.154771,5000000
0.17513,0.154715,5000000
0.17519,0.154775,5000000
0.175134,0.154719,5000000
0.175134,0.154719,5000000
0.175126,0.154711,5000000
0.175131,0.154716,5000000
0.175138,0.154723,5000000
0.175124,0.154709,5000000
0.175162,0.154747,5000000
0.175137,0.154722,5000000
0.17514,0.154725,5000000
0.175131,0.154716,5000000
0.175133,0.154718,5000000
0.175144,0.154729,5000000
0.175143,0.154728,5000000
0.175135,0.15472,5000000
0.175138,0.154723,5000000
0.175129,0.154714,5000000
0.175134,0.154719,5000000
0.175163,0.154748,5000000
0.175143,0.154728,5000000
0.175136,0.154721,5000000
0.175129,0.154714,5000000
0.175137,0.154722,5000000
0.175138,0.154723,5000000
0.175145,0.15473,5000000
0.175127,0.154712,5000000
0.175143,0.154728,5000000
0.175132,0.154717,5000000
0.175136,0.154721,5000000
0.175131,0.154716,5000000
0.175169,0.154754,5000000
0.175131,0.154716,5000000
0.175135,0.15472,5000000
0.175127,0.154712,5000000
0.175139,0.154724,5000000
0.175134,0.154719,5000000
0.175126,0.154711,5000000
0.175297,0.154882,5000000
0.175133,0.154718,5000000
0.175133,0.154718,5000000
0.175143,0.154728,5000000
0.175157,0.154742,5000000
0.175128,0.154713,5000000
0.175144,0.154729,5000000
0.175145,0.15473,5000000
0.175139,0.154724,5000000
0.175132,0.154717,5000000
0.175131,0.154716,5000000
0.175126,0.154711,5000000
0.175135,0.15472,5000000
0.175136,0.154721,5000000
0.175148,0.154733,5000000
0.175168,0.154753,5000000
0.175142,0.154727,5000000
0.175114,0.154699,5000000
0.175141,0.154726,5000000
0.175141,0.154726,5000000
0.175131,0.154716,5000000
0.175151,0.154736,5000000
0.175142,0.154727,5000000
0.175138,0.154723,5000000
0.175124,0.154709,5000000
0.175125,0.15471,5000000
0.175134,0.154719,5000000
0.175152,0.154737,5000000
0.175155,0.15474,5000000
0.175135,0.15472,5000000
0.175132,0.154717,5000000
0.175135,0.15472,5000000
0.175137,0.154722,5000000
0.175136,0.154721,5000000
0.175128,0.154713,5000000
0.175144,0.154729,5000000
0.175133,0.154718,5000000
0.175131,0.154716,5000000
0.175159,0.154744,5000000
0.175128,0.154713,5000000
0.175127,0.154712,5000000
0.175129,0.154714,5000000
0.175136,0.154721,5000000
0.175153,0.154738,5000000
0.175143,0.154728,5000000
0.175133,0.154718,5000000
0.175127,0.154712,5000000
0.175138,0.154723,5000000
0.175309,0.154894,5000000
0.175151,0.154736,5000000
0.175154,0.154739,5000000
0.175139,0.154724,5000000
0.175127,0.154712,5000000
0.175133,0.154718,5000000
0.175135,0.15472,5000000
0.175133,0.154718,5000000
0.175139,0.154724,5000000
0.175316,0.154901,5000000
0.175145,0.15473,5000000
0.175135,0.15472,5000000
0.17513,0.154715,5000000
0.175148,0.154733,5000000
0.175141,0.154726,5000000
0.175142,0.154727,5000000
0.175135,0.15472,5000000
0.175145,0.15473,5000000
0.175127,0.154712,5000000
0.175131,0.154716,5000000
0.175137,0.154722,5000000
0.175139,0.154724,5000000
0.175138,0.154723,5000000
0.175123,0.154708,5000000
0.175149,0.154734,5000000
0.175137,0.154722,5000000
0.175133,0.154718,5000000
0.175149,0.154734,5000000
0.175136,0.154721,5000000
0.175142,0.154727,5000000
0.175136,0.154721,5000000
0.175129,0.154714,5000000
0.175132,0.154717,5000000
0.175128,0.154713,5000000
0.175128,0.154713,5000000
0.175135,0.15472,5000000
0.175155,0.15474,5000000
0.175139,0.154724,5000000
0.175129,0.154714,5000000
0.175128,0.154713,5000000
0.175144,0.154729,5000000
0.175123,0.154708,5000000
0.175138,0.154723,5000000
0.175138,0.154723,5000000
0.175134,0.154719,5000000
0.175131,0.154716,5000000
0.175119,0.154704,5000000
0.175148,0.154733,5000000
0.175133,0.154718,5000000
0.175126,0.154711,5000000
0.175142,0.154727,5000000
0.175143,0.154728,5000000
0.175143,0.154728,5000000
0.175132,0.154717,5000000
0.17513,0.154715,5000000
0.175135,0.15472,5000000
0.175141,0.154726,5000000
0.175137,0.154722,5000000
0.175134,0.154719,5000000
0.175154,0.154739,5000000
0.175138,0.154723,5000000
0.175135,0.15472,5000000
0.175139,0.154724,5000000
0.17514,0.154725,5000000
0.17514,0.154725,5000000
0.175144,0.154729,5000000
0.17529,0.154875,5000000
0.175132,0.154717,5000000
0.175121,0.154706,5000000
0.175119,0.154704,5000000
0.175149,0.154734,5000000
0.175129,0.154714,5000000
0.175135,0.15472,5000000
0.17512,0.154705,5000000
0.175141,0.154726,5000000
0.175132,0.154717,5000000
0.175127,0.154712,5000000
0.175131,0.154716,5000000
0.175133,0.154718,5000000
0.175139,0.154724,5000000
0.175135,0.15472,5000000
0.175134,0.154719,5000000
0.175147,0.154732,5000000
0.175126,0.154711,5000000
0.175145,0.15473,5000000
0.175133,0.154718,5000000
0.17514,0.154725,5000000
0.175134,0.154719,5000000
0.175129,0.154714,5000000
0.175129,0.154714,5000000
0.175139,0.154724,5000000
0.175128,0.154713,5000000
0.175134,0.154719,5000000
0.175145,0.15473,5000000
0.175149,0.154734,5000000
0.175133,0.154718,5000000
